cell_id,gNa,gKCa,gKd,gCaT,gA,gL,gH,gImi,gCaS,baseline_freq_hz,baseline_v_min_mV,silencing_threshold_nA,silencing_status,any_bursting_before_silence,n_burst_transitions,silencing_decline_steepness_hz_per_nA,fi_slope_hz_per_nA,burstiness_index,fraction_rebound,peak_test_freq_hz,max_rebound_spike_count,rebound_boundary_slope,burst_boundary_slope,max_sag_depth_mV,mean_rebound_latency_ms,max_rebound_peak_mV,max_adaptation_ratio,max_n_bursts,mean_spikes_per_burst,prc_type,n_zero_crossings,natural_period_ms,baseline_pattern,is_bursting_baseline,prc_biphasic,observed_lock,observed_locked_phase,observed_phase_spread
0EFZ6A,99.95,4.709,58.16,1.868,4.658,0.1053,3.415,0.076933,0.827,68.0889695869263,-41.975420340839726,-2.375,ok,True,1,19.28661939864315,20.330801164757307,0.2944,0.7328094302554028,73.33333333333333,156,0.7164515925488103,0.06354242578979961,20.120422279820346,36.78217158176943,21.188133292567226,3.4392523364485936,82.0,3.5642305065192277,biphasic,2,14.699999999999989,tonic,False,True,True,0.9195678271308523,0.11564625850340171
0U928C,79.41,9.001,99.43,1.4349999999999998,6.867999999999999,0.0732,3.969,0.010999,0.748,28.29121086382498,-45.075001618993156,-0.625,ok,True,1,30.58242172764998,33.67832234007027,0.2012,0.6501052631578947,34.333333333333336,81,0.9764243325429512,0.20547428725083702,17.672111632387804,31.08309585492228,8.382381556517037,5.372500000000001,34.0,2.2236318534306285,biphasic,2,35.30000000000001,tonic,False,True,True,0.958979314711297,0.06741254779776373
1JH4FW,204.5,2.450000047683716,438.0,9.949999809265137,31.14999961853028,0.1700000017881393,4.800000190734863,0.4297899901866913,1.25,144.09221902017492,-53.7260226779802,-13.625,ok,True,1,9.3986222758376,9.087942256696198,0.15787287079351892,0.8775981524249422,144.0,287,0.18396578912775013,0.06995799651748495,24.52864500739667,57.287236842105266,21.665151729040304,2.88847583643122,57.0,3.2359759605682883,biphasic,2,6.900000000000034,tonic,False,True,False,0.5295821442262636,1.013034033309196
1OSWY6,288.5,5.25,439.0,13.05,0.3,0.385,9.75,0.4497799999999999,0.25,147.92899408283546,-52.45434110512759,-14.125,ok,True,1,10.13447565965559,8.830518890273796,0.24880611270296085,0.9007238883143743,147.66666666666666,292,0.3577880401766938,0.0006140154682703709,9.338984339849034,39.42284730195178,23.09274663997001,2.6141304347826035,118.0,4.2434624704187005,biphasic,2,6.799999999999997,tonic,False,True,True,0.9117647058823537,0.10294117647058709
1UI2B6,84.08,3.6020000000000003,86.11,1.853,3.334,0.012,7.930000000000001,0.076933,0.7879999999999999,111.39992573338164,-50.40606669812354,-4.125,ok,True,1,24.88608561879991,24.08208479935673,0.2256,0.8620071684587813,112.33333333333333,229,0.22596068170014258,0.000857491777079134,21.683324727248355,53.9931392931393,17.748328088744103,6.600000000000003,52.0,5.1226508866011535,monophasic,0,9.0,tonic,False,False,True,0.9307189542483667,0.08888888888888946
2EXYPV,275.5,10.100000381469728,463.5,12.199999809265137,21.600000381469727,0.915000021457672,5.300000190734863,0.2898600101470947,3.3499999046325684,33.56080098445038,-40.03062024099393,-2.625,ok,True,0,7.303085995557253,6.326678395341525,0.5676,0.8108108108108109,28.666666666666668,57,0.3898463392641552,,4.095555730078907,15.548333333333334,18.178176739677284,,53.0,2.000957280062725,biphasic,2,33.45,tonic,False,True,False,0.5827727952167412,1.3871449925261585
2G1HP5,337.5,10.600000381469728,458.5,15.649999618530272,30.350000381469727,0.2849999964237213,23.89999961853028,0.3898099958896637,1.350000023841858,134.58950201884275,-49.35145658439973,-17.125,ok,True,1,6.936933153079165,8.198974402521133,0.4930232558139535,0.9286898839137645,134.66666666666666,263,0.5766745689871102,-0.00849362589540116,9.494537789831938,33.95625,23.79060576406335,2.8619047619047575,140.0,4.140735565824054,biphasic,2,7.400000000000006,tonic,False,True,False,0.7488183659689404,1.0
2OFT1J,308.5,15.449999809265137,494.0,12.75,19.5,0.4099999964237213,17.25,0.2698700129985809,0.4000000059604645,55.741360089185534,-45.772017224599765,-9.875,ok,True,1,4.228740482485258,4.279443415013431,0.7804754678806272,0.7922437673130194,60.333333333333336,120,0.5169103405259212,0.08803713995054042,5.023740738923863,25.055769230769233,22.919612443467106,3.292307692307706,100.0,2.0042953117102185,biphasic,2,17.900000000000006,tonic,False,True,True,0.9766085713816376,0.021223122032953845
47KQ0Q,94.15,0.705,58.07,0.721,7.285,0.0851,9.151,0.173836,1.262,140.845070422534,-56.953263267857395,-5.125,ok,False,0,18.41318822023034,16.399296659944667,0.1832,0.8856015779092702,140.66666666666666,268,0.05480403982922826,-0.08550007268467669,14.453752467962126,12.891648106904233,18.53970432619263,9.918644067796606,1.0,3.3846153846153846,biphasic,2,7.1,tonic,False,True,True,0.9718309859154939,0.028169014084508448
4QSWXH,79.12,7.351,91.82,1.2839999999999998,6.444,0.0825,3.739,0.066943,0.245,55.07618872773978,-45.15821530267609,-1.875,ok,False,0,24.547502093342842,24.547937743178103,0.0,0.8482014388489209,58.333333333333336,125,0.7700824239418541,,18.319356519236287,16.526802374893975,13.565248450961374,7.123922413793107,,,biphasic,2,18.100000000000023,tonic,False,True,True,0.9778376139188061,0.02623584645125787
5A6WBD,252.5,7.35,288.5,9.7,47.55,0.345,5.55,0.58971,0.35,134.71037269869515,-48.3634891903566,-16.625,ok,True,1,8.072791016102277,7.985369284163491,0.29621936019941836,0.9765051395007343,135.66666666666666,271,0.4927360369962366,-0.011057942849560886,10.452892517534693,9.1996992481203,21.36147829471192,3.014705882352941,102.0,2.0082728022869323,biphasic,2,7.400000000000006,tonic,False,True,True,0.966070222822418,0.03713706954760132
7PH7A2,313.0,1.2999999523162842,467.0,13.850000381469728,33.75,0.8700000047683716,5.800000190734863,0.5297399759292603,4.400000095367432,142.92520247737167,-49.98860334470718,-10.875,ok,True,1,12.601997701692762,11.513226819601934,0.14505776636713735,0.825,143.0,284,0.26240776934407073,-0.0048899539055837805,3.739652588847804,38.207519640852986,19.861240064668763,2.9860465116279196,77.0,3.418024589573001,biphasic,2,7.0,tonic,False,True,True,0.9767857142857153,0.04285714285714248
7V3T5U,251.5,5.199999809265137,297.0,9.100000381469728,32.5,0.4250000119209289,7.0,0.5497300028800964,0.4000000059604645,137.42556115436946,-50.34112340569808,-14.625,ok,True,1,9.367080680801775,9.285907718705408,0.2259498787388844,0.8726450640542577,137.66666666666666,275,0.3856307434150489,-0.026708569947206776,5.308842785737426,36.55682210708117,20.279501495870363,3.2276785714285596,88.0,2.0144930569216535,biphasic,4,7.300000000000001,tonic,False,True,True,0.9210314262691374,0.08219178082191947
8S2OZ8,267.5,15.800000190734863,488.0,11.699999809265137,33.5,0.8399999737739563,6.150000095367432,0.3498300015926361,7.800000190734863,34.36032527774616,-39.229752008439085,-5.125,ok,True,2,3.0604721866353293,3.321920184458607,0.6924,0.6507936507936508,37.666666666666664,62,0.18957153836135213,-44.08000721280114,4.714191318864849,14.41558265582656,18.243925909089405,4.639484978540773,48.0,2.006838157228383,biphasic,2,20.700000000000003,tonic,False,True,False,0.845126456379654,0.9999999999999992
8WP311,97.59,0.433,45.65,1.399,4.026,0.0062,4.945,0.078931,0.02,115.29592621060529,-52.98024467562553,-3.625,ok,False,0,25.085035320815177,25.441993815862048,0.1324,0.8362989323843416,115.33333333333333,232,0.04101717926959733,-0.015417906317903029,23.536409157612617,41.95251063829787,23.574815358210095,12.889487870619941,24.0,5.214192708333334,biphasic,2,8.699999999999989,tonic,False,True,True,0.9377958079783634,0.08045977011494299
8Z3ESD,269.0,2.400000095367432,477.5,14.149999618530272,26.850000381469727,0.0750000029802322,18.5,0.3298400044441223,0.5,159.74440894568906,-53.90813625366183,-15.625,ok,True,3,8.237323927350861,,0.22375478927203066,0.972972972972973,150.0,296,0.1878074431764655,-0.03678924216879926,15.675458314340077,57.29545454545455,24.329322950514992,2.407407407407407,100.0,14.634174125790668,biphasic,2,6.259999999999991,tonic,False,True,True,0.9786341853035154,0.03354632587859219
92V6VV,259.5,9.100000381469728,440.5,11.850000381469728,21.89999961853028,0.9350000023841858,2.5,0.4297899901866913,4.650000095367432,35.51556765715628,-39.93143627280604,-5.875,ok,True,1,4.0870152555223775,4.294857409746985,0.7176,0.6678603401969562,39.0,80,0.23068719684365657,8.881276257576729e-18,5.238503580758049,14.67426273458445,17.10224085175834,4.17910447761194,64.0,2.0029098812083808,biphasic,2,27.700000000000003,tonic,False,True,False,0.3682310469314074,1.0
9GBDEX,96.06,1.705,68.15,1.147,7.947999999999999,0.0322,6.069,0.128881,0.237,118.29652996845577,-56.55590164045505,-4.625,ok,False,0,22.965682057164905,19.07381261726419,0.138,0.8431061806656102,118.33333333333333,226,0.24154709335081645,-0.04635585214322724,21.109893695919347,19.190037593984968,18.87810904756286,10.184000000000003,1.0,3.7222222222222223,biphasic,4,8.450000000000003,tonic,False,True,True,0.9710230632761679,0.037256061502069615
9HOVGA,83.73,2.8834,41.997,0.8504,7.3497,0.08243,1.15,0.1312786,0.601,92.85051067780758,-50.15413610739449,-3.375,ok,False,0,22.0557807498932,23.191030902978497,0.0568,0.6907356948228883,94.0,194,0.19516834302861757,0.012334501544319398,30.619967742383814,37.957495069033534,20.673149917567102,5.350762527233113,1.0,3.192,biphasic,2,10.79999999999999,tonic,False,True,True,0.9346405228758171,0.06481481481481577
D2UZAL,262.5,0.0,461.5,12.350000381469728,24.64999961853028,0.3899999856948852,19.100000381469727,0.2298900038003921,2.0999999046325684,151.13350125944308,-53.50221758022828,-9.0,unsettled,True,0,13.179680586061798,9.114261148731941,0.1121768140116764,0.8505291005291006,151.0,294,0.021210281887447814,-0.026478137989777703,5.5443097327612705,19.32581648522551,21.810149062088314,15.85804416403786,4.0,13.535714285714286,biphasic,2,6.600000000000001,tonic,False,True,True,1.021574564723694,0.05071915215745748
DFJ1K3,81.11,9.495,89.73,1.6070000000000002,5.497,0.0736,3.627,0.01,0.7979999999999999,24.795437639474194,-43.829133801020994,-0.875,ok,True,0,15.993482342105992,25.72649350588675,0.3352,0.6034559149313248,33.333333333333336,78,1.0532015968065713,0.0001851448013353917,18.904999894104932,25.03179148311307,10.841417230283772,4.010067114093959,52.0,2.721495359992676,biphasic,2,40.00000000000001,tonic,False,True,False,0.6666299065557975,1.5521809773778277
DRHJWT,92.99,1.701,83.11,1.836,6.812,0.0412,4.255,0.026983,0.05,73.56547327121184,-48.04289027185648,-1.625,ok,True,1,40.210794676227614,39.63039308964315,0.1268,0.7007797270955166,78.66666666666667,168,0.46718872445022386,0.0849313481629443,19.8336044324733,33.084700973574414,19.575207218087453,8.590909090909095,37.0,4.715797269889341,monophasic,0,13.599999999999994,tonic,False,False,True,0.9576124567474054,0.05882352941176294
DYWMU6,97.99,0.133,45.65,1.329,9.026,0.0062,4.945,0.078931,0.04,107.87486515641702,-53.010007788568394,-3.625,ok,True,1,27.774145990650602,24.898992643539884,0.1272,0.803763440860215,108.0,217,0.09359267203916005,-0.02293802493249892,23.246294327207963,37.88377926421404,22.904646404521554,12.74701670644392,5.0,6.2754694835680755,biphasic,2,9.29999999999999,tonic,False,True,True,0.9297912713472488,0.07526881720430223
E6I4UX,97.59,0.433,45.65,1.399,4.026,0.0062,4.945,0.078931,0.02,115.29592621060529,-52.98024467562553,-3.625,ok,False,0,25.085035320815177,25.441993815862048,0.1324,0.8362989323843416,115.33333333333333,232,0.04101717926959733,-0.015417906317903029,23.536409157612617,41.95251063829787,23.574815358210095,12.889487870619941,24.0,5.214192708333334,biphasic,2,8.699999999999989,tonic,False,True,True,0.9377958079783634,0.08045977011494299
E8VWR1,91.48,3.015,99.54,1.815,8.357,0.0527,3.281,0.060949,0.661,82.78145695364289,-49.5713038305821,-2.375,ok,True,0,31.256572620883773,30.96574634029859,0.086,0.6954423592493297,86.0,180,0.47254260577257384,0.038416509908793556,20.010331054989443,33.25104086353123,19.978984719031008,9.263586956521742,37.0,4.2521264582411415,biphasic,2,12.099999999999994,tonic,False,True,True,0.9474963539134658,0.06611570247933862
ENIDBY,347.0,1.2000000476837158,417.0,14.399999618530272,13.100000381469728,0.8500000238418579,11.800000190734863,0.4497799873352051,2.200000047683716,148.29461196243523,-51.017493341997145,-9.875,ok,True,1,12.452702457972679,,0.17173913043478262,0.8215189873417722,143.66666666666666,284,0.18845056072223346,-0.019116066905149016,3.7791139671143483,41.532665639445305,21.697071671045094,2.4166666666666665,119.0,8.602287896698725,biphasic,2,6.740000000000009,tonic,False,True,True,0.991543654031599,0.010014093909948785
ERN9ZE,84.6,7.835,61.27,1.527,2.141,0.0227,2.525,0.035974,0.535,53.676865271067854,-43.77728141171487,-2.0,unsettled,True,1,19.457820719269865,23.060094429245584,0.3708,0.8000945179584121,59.333333333333336,128,0.7679009751688044,0.10132725811659636,27.821535233865873,52.630832841110454,20.226429172061316,3.7295081967213117,72.0,3.612798479879709,biphasic,2,18.600000000000023,tonic,False,True,True,0.9534596961601084,0.0526740123622681
F6UHH2,91.28,4.615,96.59,1.815,8.357,0.0507,3.4810000000000003,0.050959,0.611,68.87052341597877,-47.291448020062845,-2.125,ok,True,1,27.74040887342355,27.551024044810266,0.1332,0.7039274924471299,73.66666666666667,157,0.41982572461493783,0.07212075157629895,19.527850566281003,34.478683834048645,19.45438744687717,5.092485549132956,41.0,3.6435984482570043,biphasic,2,14.5,tonic,False,True,True,0.9703853955375259,0.041379310344827225
GN8RC7,338.0,12.2,407.5,15.1,18.85,0.6,7.6,0.1099499999999999,0.8,151.40045420136568,-43.47499615440228,-2.375,ok,True,0,40.85055530783127,5.426256499762499,0.5653044871794872,0.6465352828989193,85.33333333333333,94,-0.27590724611317535,,5.634405380937196,17.443264503441497,24.89477667147529,,32.0,4.372537746893886,biphasic,2,7.299999999999983,tonic,False,True,False,0.7574536663980662,0.1643835616438355
GZ8ILK,349.0,12.4,458.0,13.4,47.6,0.915,7.399999999999999,0.3098499999999999,3.05,39.057414399166575,-43.14571055371081,-3.875,ok,True,0,5.829202415693341,5.0956866933101965,0.658,0.6412520064205457,45.333333333333336,67,0.18918149524848177,,3.4285923674052796,13.910513141426787,21.721019877026283,3.3485714285714225,47.0,2.0049927267676466,biphasic,2,14.5,tonic,False,True,False,0.7391480730223129,1.0
HINVDL,83.401,1.0534,42.368,0.9654,3.2956000000000003,0.08246,2.3156,0.0314785,0.6112,64.4606789858187,-45.63779896595555,-0.875,ok,False,0,46.65811283688385,55.89362161775228,0.0596,0.6025582457743262,70.33333333333333,155,0.8128073705505797,0.08369964252515251,19.467884649977705,26.519711902956786,12.372068709646847,7.011142061281331,1.0,3.75,biphasic,2,15.5,tonic,False,True,True,0.9838709677419364,0.019354838709676248
HKD573,280.0,12.149999618530272,477.0,12.399999618530272,15.100000381469728,0.8100000023841858,12.100000381469728,0.2099000066518783,2.400000095367432,33.29633740288353,-40.91311997534496,-2.625,ok,True,0,7.027524972252437,4.835665758442707,0.5692,0.6219431592861864,38.333333333333336,56,0.2920365314434127,,4.012598681718806,14.656854410201916,20.069728394493595,3.194295900178258,39.0,2.0108259312206203,biphasic,2,16.899999999999977,tonic,False,True,False,0.7535676992690571,1.0
HNMRP0,255.0,5.8500000000000005,479.5,10.65,45.85,0.98,10.55,0.2298899999999999,12.8,21.443888491780736,-41.07487505974491,-0.875,ok,True,0,12.919840702543908,7.632155661370842,0.358,0.5807984790874525,34.0,48,0.5390458947262594,,3.730210488725639,26.448772504091654,12.815947254317162,6.099683544303797,22.0,2.7079692628397924,biphasic,2,17.450000000000003,tonic,False,True,False,0.731005779567627,1.0000000000000009
HRVUHK,344.0,1.7000000476837158,321.0,10.699999809265137,41.54999923706055,0.8799999952316284,9.399999618530272,0.5297399759292603,2.0,132.45033112582462,-50.73993420741046,-10.125,ok,True,1,12.922684912517168,12.295580388603643,0.1998331247392574,0.8493259318001586,132.66666666666666,262,0.3146782477711997,-0.02389875413312625,3.3861957508408054,34.1608776844071,20.560224921263675,2.550420168067219,84.0,2.241955557057368,biphasic,4,7.5,tonic,False,True,False,0.41960784313725563,1.0
HRWDJP,92.91,1.971,44.21,0.999,6.593999999999999,0.1008,3.658,0.098911,0.074,86.03383997705791,-49.172705297208246,-2.625,ok,False,0,28.895382850587968,28.74867832405708,0.0224,0.6576900059844405,87.0,179,0.3997603229637597,-3.792044864665898e-16,17.796936848840375,18.76933575978162,20.302668484056507,6.512336719883886,1.0,3.44,biphasic,2,11.600000000000005,tonic,False,True,True,0.9810426540284369,0.032313657906074544
KWI6P1,95.812,6.497000000000001,79.97999999999999,1.5701999999999998,7.681900000000001,0.25074,2.0866,0.1670428,1.7723,53.48546978070944,-39.275565959202844,-3.0,unsettled,True,2,17.04513849495127,17.120051331100505,0.1196,0.6551009839461419,55.666666666666664,116,0.5536633867292605,0.10856306261080505,9.860347512895444,21.1401581027668,13.832687423097518,7.058139534883721,37.0,2.0524338463056515,biphasic,2,18.69999999999999,tonic,False,True,False,0.87260144699591,0.19786096256684527
LQMEXO,254.5,0.05,479.0,12.1,28.000000000000004,0.39,6.25,0.3698199999999999,1.5,143.4034416825999,-53.47062557588802,-10.625,ok,True,1,10.665762575780374,8.44975315784741,0.06520806520806521,0.7764227642276422,143.33333333333334,284,0.12784494517346234,-0.017820229004744215,7.8136146488736244,35.21047120418848,22.508810944051934,2.573529411764706,9.0,8.910225340136055,biphasic,2,7.0,tonic,False,True,True,0.9319327731092445,0.07142857142857051
MXIC4S,337.0,11.949999809265137,473.5,14.899999618530272,49.79999923706055,0.9100000262260436,10.0,0.2698700129985809,2.0,38.265306122448266,-40.65826067025427,-3.625,ok,True,0,6.341836734693766,5.721943956999208,0.6296,0.6241806263656228,33.666666666666664,63,0.13381679785594458,,4.299881254469533,14.241656942823802,21.74798913867101,,53.0,2.0129671540295613,biphasic,2,49.0,bursting,True,True,False,0.8022959183673477,1.43265306122449
NC3X8D,251.0,5.349999904632568,279.0,8.399999618530273,43.59999847412109,0.9800000190734864,16.299999237060547,0.2298900038003921,6.349999904632568,20.374898125509404,-39.93265035110562,-0.125,ok,True,0,,8.711079621822586,0.2448,0.603112840466926,16.0,36,1.150270207740825,,3.3612320021953863,28.036702508960577,13.205736166251823,,24.0,2.054560475902613,biphasic,2,143.0999999999999,bursting,True,True,False,0.49500554938956703,0.8749126484975542
NJD9YX,79.80000000000001,9.773,83.12,1.394,2.865,0.0802,1.239,0.051958,0.609,41.83516943243618,-43.784736587324744,-1.375,ok,True,1,22.307695786708447,23.621053590091083,0.1952,0.638602776533811,45.333333333333336,98,1.0107653764928566,0.08349571068436969,23.61941080677955,36.04544179523142,10.718662558460833,3.760107816711591,41.0,2.0714108434657357,biphasic,2,23.900000000000002,tonic,False,True,True,0.9559438838296819,0.04184100418410153
OIDWYV,271.5,17.5,392.5,10.399999618530272,39.45000076293945,0.5550000071525574,3.799999952316284,0.2898600101470947,1.2999999523162842,40.34969737726947,-43.13470931497191,-5.875,ok,True,0,4.722480616969345,4.031960813858016,0.6972,0.6369150779896013,50.666666666666664,73,0.16040376990722474,-0.5001444890690918,6.385105866976659,13.822040816326531,22.39964622949523,7.198380566801608,56.0,1.9961215030664112,biphasic,2,14.800000000000011,tonic,False,True,False,0.806027375489202,1.0
PB5T30,342.0,0.05,430.5,13.4,1.5,0.795,19.3,0.26987,0.3,140.51522248243322,-52.119896718329876,-5.875,ok,True,1,20.697965289712325,36.04996575542257,0.20234741784037558,0.8565400843881856,137.0,267,0.18654495602633384,-0.055037985102113156,3.9176874492484686,32.31665024630543,22.11754709985224,2.6133333333333417,68.0,9.568433357783302,biphasic,2,7.110000000000014,tonic,False,True,True,0.996027002320513,0.005273890724984631
PQJ7GU,229.0,0.25,325.5,10.050000190734863,45.20000076293945,0.209999993443489,4.650000095367432,0.2498800009489059,0.050000000745058,132.2168356104034,-51.47937338378285,-8.125,ok,False,0,9.925170023937381,9.92908962866684,0.048507462686567165,0.6709753231492362,132.66666666666666,264,0.09351072604805911,0.0008513485388650105,17.15461962735533,30.16654991243433,24.711111762849125,2.1818181818181803,84.0,10.080654340198913,biphasic,2,7.599999999999966,tonic,False,True,True,0.9148606811145507,0.0789473684210541
PWLDD3,77.16,5.994000000000001,71.21,1.517,1.183,0.0378,1.134,0.025984,0.039,44.31969271679743,-43.673231542983046,-1.125,ok,True,1,35.45575417343796,34.876483897377526,0.1988,0.6246259085079093,50.0,111,0.9317286966074407,0.12782255126740663,30.15310009724604,38.18021902806297,13.166640795903241,4.02325581395349,58.0,2.6859085532373603,biphasic,2,22.599999999999994,tonic,False,True,True,0.9289432587194172,0.06637168141592731
PYFY3Y,84.6,7.835,61.27,1.527,2.141,0.0227,2.525,0.035974,0.535,53.676865271067854,-43.77728141171487,-1.875,ok,True,1,19.257820719269837,23.060094429245584,0.3708,0.8000945179584121,59.333333333333336,128,0.7679009751688044,0.10132725811659636,27.821535233865873,52.630832841110454,20.226429172061316,3.7295081967213117,72.0,3.612798479879709,biphasic,2,18.600000000000023,tonic,False,True,True,0.9534596961601084,0.0526740123622681
PZ3ZIH,79.41,9.001,99.43,1.4349999999999998,6.867999999999999,0.0732,3.969,0.010999,0.748,28.29121086382498,-45.075001618993156,-0.625,ok,True,1,30.58242172764998,33.67832234007027,0.2012,0.6501052631578947,34.333333333333336,81,0.9764243325429512,0.20547428725083702,17.672111632387804,31.08309585492228,8.382381556517037,5.372500000000001,34.0,2.2236318534306285,biphasic,2,35.30000000000001,tonic,False,True,True,0.958979314711297,0.06741254779776373
QUXTOD,95.742,0.0051,43.715,0.9673,8.2413,0.14049,1.3182,0.2216881,0.0397,109.32944606413791,-52.56022911326535,-5.125,ok,False,0,17.12085873310342,17.383552525147838,0.0148,0.665028665028665,109.33333333333333,219,0.12464977020055519,7.122607678467675e-16,29.684991861638622,17.808497536945815,19.546415697018183,2.346432264736294,1.0,3.875,biphasic,2,9.100000000000023,tonic,False,True,True,1.019082921471718,0.02690829214717061
QVVQF5,77.16,5.994000000000001,71.21,1.517,1.183,0.0378,1.134,0.025984,0.039,44.31969271679743,-43.673231542983046,-1.125,ok,True,1,35.45575417343796,34.876483897377526,0.1988,0.6246259085079093,50.0,111,0.9317286966074407,0.12782255126740663,30.15310009724604,38.18021902806297,13.166640795903241,4.02325581395349,58.0,2.6859085532373603,biphasic,2,22.599999999999994,tonic,False,True,True,0.9289432587194172,0.06637168141592731
RUZXAL,93.05,4.672,76.61,1.81,5.989,0.0355,3.885,0.052957,0.1099999999999999,70.82152974504304,-46.379457179795104,-2.375,ok,True,1,24.238546879485025,25.3358875984636,0.1904,0.7425542655224634,75.66666666666667,161,0.4296870645942104,0.07351394399566467,21.583874343210894,40.879469748470434,21.8369087007036,3.790419161676644,56.0,3.070559854686041,biphasic,2,14.100000000000001,tonic,False,True,True,0.9637046307884849,0.04255319148936476
S7CS0A,72.44,4.876,81.83,1.231,7.725,0.0794,3.408,0.014995,0.577,29.446407538280297,-43.58304760100692,-0.75,unsettled,False,0,51.892815076560595,52.37462124074462,0.0988,0.5844370860927153,37.666666666666664,90,1.2191577980768429,0.16419798312461875,18.894289112008458,36.463385269121815,5.137454110100414,23.538317757009345,18.0,2.493404219072668,biphasic,2,33.900000000000006,tonic,False,True,True,0.9590204464030115,0.052499631322814544
T47IGK,96.64,1.881,44.01,0.999,5.875,0.1078,3.682,0.088921,0.054,82.44023083264766,-49.137003556065686,-2.375,ok,False,0,32.907032264622266,31.469960845122202,0.0256,0.6359032076533483,83.66666666666667,174,0.2914199407922541,-8.156641842412151e-17,17.126842205081232,18.698230088495574,20.253826993824696,6.5748865355522,1.0,3.5357142857142856,biphasic,2,12.100000000000016,tonic,False,True,True,0.9823420074349436,0.014456836018176822
U2D334,315.0,0.1000000014901161,415.0,10.0,49.400001525878906,0.7900000214576721,41.20000076293945,0.5297399759292603,3.0,158.06111696523018,-54.557955583175975,-12.875,ok,False,0,11.949644907139145,,0.07077205882352941,0.863849765258216,144.66666666666666,252,0.289232905964105,-0.06295967604354726,3.3111716972428553,16.56195652173913,16.25708405830276,12.44514106583072,43.0,2.8022355588897225,biphasic,2,6.320000000000007,tonic,False,True,True,0.9981014160272137,0.002768768293647028
UMBN9G,93.2,3.045,68.84,0.7489999999999999,2.788,0.0414,9.126,0.123886,1.022,139.79496738117405,-58.05481246383218,-4.375,ok,False,0,14.705979030903809,16.51306140051798,0.1796,0.9075804776739356,139.66666666666666,266,0.02077056556188875,-0.12125373081328752,16.760280415181178,12.977459954233408,20.190221160826667,9.828828828828833,1.0,2.888888888888889,monophasic,0,7.199999999999989,tonic,False,False,True,0.9019607843137253,0.11111111111111094
UREJI5,95.746,4.7051,40.675,0.9513,7.240299999999999,0.14088,1.3549,0.2311786,0.3097,104.52961672473602,-48.78299725351892,-5.375,ok,False,0,17.074197423046698,17.2453871713089,0.0044,0.6814932486100079,105.0,211,0.3425759936647954,4.805225020842882e-16,31.31629808243555,18.102447552447554,19.27303633323455,2.0106382978723336,1.0,3.4545454545454546,monophasic,0,9.599999999999994,tonic,False,False,True,0.9203431372549017,0.08333333333333237
V62KEJ,84.59,3.515,71.67999999999999,1.257,7.598000000000001,0.0216,3.985,0.106903,0.26,98.74917709019057,-53.057911295039055,-3.875,ok,False,0,23.584370698425975,22.01723851912188,0.0836,0.7926744989633725,99.0,200,0.19705085777027698,0.05082978213029848,22.630499711076403,41.07663469921535,19.735114029322485,8.924268502581755,10.0,2.7136363636363634,biphasic,2,10.100000000000009,tonic,False,True,True,0.9868876793666493,0.017318159327065596
VC08B6,373.0,11.649999618530272,493.5,16.899999618530273,28.799999237060547,0.4099999964237213,39.79999923706055,0.2898600101470947,0.1000000014901161,113.03692539562938,-47.10808081856776,-15.875,ok,True,1,5.475209622405787,9.201442228175265,0.6683127572016461,0.9002375296912114,113.33333333333333,221,0.7580674670867701,0.03871884606967455,5.225547466447971,25.53166226912929,23.298998246357872,2.3065326633165872,140.0,3.1100777573867595,biphasic,2,8.849999999999994,tonic,False,True,True,0.9627783316716517,0.056497175141242195
VL1JX8,212.0,4.7,499.5,12.35,41.3,0.2149999999999999,5.9,0.2298899999999999,0.25,111.56563778356508,-47.6708846123573,-7.875,ok,True,1,12.672113528346914,12.718178203439813,0.26989335520918784,0.8168831168831169,114.0,228,0.47074687733398973,0.022624440535064624,16.007412906896228,49.189745627980926,22.924784848146366,3.301255230125527,99.0,3.809931539842954,biphasic,2,9.0,tonic,False,True,True,0.9235294117647065,0.07777777777777817
VVUJQX,98.89,8.383000000000001,86.95,1.725,7.465000000000001,0.1457,8.879,0.108901,1.929,60.8025942440209,-42.481228617913445,-3.375,ok,True,1,14.255466812650694,14.113245773114912,0.2836,0.7510330578512396,65.0,136,0.6572762527082117,0.046776084996120015,11.308108389050233,29.52372764786795,14.855332520983827,3.7910447761194006,52.0,2.2461054400193814,biphasic,2,16.400000000000034,tonic,False,True,True,0.9568997974075333,0.06583358732093891
W0E22J,70.03,8.600999999999999,99.32,1.4580000000000002,6.497000000000001,0.0061,2.9110000000000005,0.072937,0.529,66.77053193857067,-45.3484359937789,-3.125,ok,True,1,20.38807353661242,19.54945590556206,0.0668,0.9193682460515378,71.0,150,0.5835689560624439,0.04860860781837534,27.699734409090205,16.23562386980109,18.511669272065948,17.007092198581564,34.0,2.115097402849199,biphasic,2,15.0,tonic,False,True,True,0.9207843137254907,0.09333333333333416
